campaign_id,user_id,sent_date,campaign_type,success
72,9054,2025-03-28,Cashback,0
73,5642,2025-03-13,Personalized Offer,1
74,8330,2025-04-24,Refer & Earn,0
75,166,2025-03-30,Cashback,0
76,8484,2025-03-18,Win-back,0
77,1707,2025-04-21,Cashback,0
78,4235,2025-05-31,Cashback,0
79,2930,2025-04-07,Personalized Offer,1
80,5844,2025-03-31,Personalized Offer,1
81,7453,2025-05-13,Cashback,0
82,2254,2025-04-27,Cashback,1
83,3045,2025-04-03,Win-back,1
84,6223,2025-04-14,Win-back,1
85,3127,2025-05-26,Cashback,0
86,2271,2025-03-29,Win-back,0
87,3139,2025-06-01,Refer & Earn,0
88,7567,2025-05-19,Cashback,0
89,6519,2025-04-05,Refer & Earn,0
90,1071,2025-06-07,Cashback,1
91,3378,2025-04-23,Cashback,1
92,1789,2025-05-05,Refer & Earn,0
93,8362,2025-05-20,Win-back,0
94,2386,2025-05-18,Refer & Earn,1
95,2294,2025-04-15,Refer & Earn,1
96,4738,2025-05-19,Personalized Offer,1
97,9518,2025-05-31,Personalized Offer,1
98,2303,2025-03-13,Win-back,1
99,2446,2025-03-19,Personalized Offer,0
100,1840,2025-04-01,Cashback,1
101,2666,2025-05-20,Cashback,1
102,4713,2025-06-04,Win-back,1
103,9991,2025-04-27,Win-back,1
104,2917,2025-04-30,Personalized Offer,0
105,9166,2025-04-10,Refer & Earn,1
106,8010,2025-04-29,Personalized Offer,1
107,241,2025-05-06,Refer & Earn,0
108,940,2025-05-31,Personalized Offer,1
109,5972,2025-06-08,Refer & Earn,0
110,9793,2025-03-23,Personalized Offer,1
111,511,2025-03-14,Refer & Earn,0
112,9725,2025-05-27,Win-back,0
113,3142,2025-05-25,Win-back,0
114,6322,2025-04-21,Personalized Offer,1
115,5700,2025-04-08,Personalized Offer,1
116,6588,2025-05-10,Cashback,1
117,3071,2025-05-28,Win-back,1
118,1018,2025-03-11,Cashback,1
119,2070,2025-06-07,Personalized Offer,1
120,44,2025-04-30,Cashback,0
121,1515,2025-05-31,Win-back,0
122,3688,2025-05-29,Refer & Earn,1
123,1797,2025-03-26,Personalized Offer,0
124,6712,2025-06-02,Refer & Earn,0
125,409,2025-05-06,Refer & Earn,0
126,4959,2025-03-23,Refer & Earn,0
127,1072,2025-04-04,Cashback,0
128,8867,2025-05-11,Win-back,0
129,2657,2025-05-13,Personalized Offer,0
130,100,2025-05-23,Cashback,1
131,8834,2025-03-19,Refer & Earn,1
132,3350,2025-05-10,Personalized Offer,0
133,2104,2025-04-23,Win-back,0
134,1448,2025-04-17,Cashback,0
135,8585,2025-04-08,Personalized Offer,1
136,6781,2025-05-23,Win-back,0
137,9359,2025-06-07,Refer & Earn,1
138,446,2025-05-28,Refer & Earn,1
139,4637,2025-06-08,Refer & Earn,0
140,6296,2025-05-12,Cashback,1
141,3827,2025-04-21,Cashback,1
142,1762,2025-05-16,Cashback,1
143,3341,2025-05-03,Win-back,0
144,132,2025-05-11,Personalized Offer,0
145,7057,2025-04-20,Win-back,0
146,613,2025-04-30,Cashback,1
147,2119,2025-06-07,Cashback,1
148,5667,2025-03-25,Personalized Offer,0
149,1540,2025-04-10,Refer & Earn,1
150,3746,2025-03-25,Refer & Earn,1
151,4945,2025-03-25,Personalized Offer,0
152,7616,2025-03-16,Win-back,1
153,2855,2025-04-06,Refer & Earn,1
154,4467,2025-05-07,Cashback,0
155,5283,2025-03-30,Win-back,1
156,9137,2025-05-05,Win-back,0
157,8387,2025-05-24,Refer & Earn,0
158,1322,2025-05-14,Win-back,0
159,267,2025-05-27,Refer & Earn,1
160,9790,2025-05-16,Cashback,0
161,5364,2025-05-06,Refer & Earn,1
162,2603,2025-03-15,Win-back,1
163,98,2025-05-12,Refer & Earn,1
164,4594,2025-05-10,Win-back,1
165,5377,2025-04-13,Personalized Offer,0
166,1598,2025-04-04,Win-back,1
167,8158,2025-03-23,Win-back,0
168,1586,2025-05-16,Personalized Offer,1
169,631,2025-06-08,Cashback,1
170,6245,2025-05-18,Cashback,1
171,77,2025-03-11,Cashback,1
172,9948,2025-03-24,Personalized Offer,0
173,9724,2025-05-21,Personalized Offer,1
174,5613,2025-03-22,Cashback,0
175,7507,2025-03-14,Cashback,0
176,3493,2025-05-18,Win-back,1
177,6187,2025-06-05,Refer & Earn,1
178,302,2025-04-22,Refer & Earn,1
179,5495,2025-05-12,Personalized Offer,0
180,7713,2025-04-14,Cashback,0
181,8061,2025-04-20,Cashback,1
182,9189,2025-03-26,Refer & Earn,1
183,1316,2025-03-26,Refer & Earn,0
184,2207,2025-05-17,Personalized Offer,1
185,7408,2025-03-26,Refer & Earn,0
186,6371,2025-05-18,Win-back,0
187,5748,2025-04-18,Personalized Offer,0
188,4176,2025-05-07,Personalized Offer,0
189,7340,2025-05-11,Personalized Offer,1
190,1328,2025-03-29,Cashback,1
191,544,2025-05-01,Refer & Earn,0
192,7506,2025-05-02,Cashback,0
193,6904,2025-05-31,Win-back,1
194,3916,2025-03-18,Personalized Offer,0
195,527,2025-04-30,Cashback,1
196,5137,2025-03-16,Win-back,1
197,9013,2025-04-20,Personalized Offer,0
198,4466,2025-03-22,Personalized Offer,0
199,8779,2025-03-19,Win-back,1
200,9065,2025-05-17,Personalized Offer,1
201,2830,2025-04-30,Cashback,1
202,8614,2025-05-01,Refer & Earn,0
203,5045,2025-05-08,Refer & Earn,0
204,2796,2025-06-04,Cashback,0
205,5402,2025-06-06,Refer & Earn,1
206,8663,2025-04-10,Refer & Earn,0
207,4982,2025-04-29,Cashback,1
208,7711,2025-04-09,Cashback,0
209,7548,2025-06-04,Personalized Offer,1
210,383,2025-05-27,Cashback,1
211,1786,2025-05-09,Cashback,1
212,7470,2025-05-31,Win-back,1
213,8789,2025-04-21,Cashback,1
214,232,2025-04-14,Personalized Offer,1
215,3663,2025-03-17,Win-back,0
216,4669,2025-04-27,Personalized Offer,1
217,4818,2025-04-12,Cashback,1
218,6666,2025-05-26,Cashback,0
219,1895,2025-04-24,Refer & Earn,1
220,9908,2025-04-08,Win-back,0
221,8522,2025-03-15,Personalized Offer,0
222,1638,2025-03-13,Personalized Offer,1
223,1902,2025-04-27,Cashback,0
224,3134,2025-04-28,Personalized Offer,1
225,5789,2025-06-04,Win-back,1
226,4662,2025-04-04,Refer & Earn,0
227,5386,2025-04-07,Cashback,1
228,5685,2025-03-25,Win-back,1
229,5660,2025-06-01,Personalized Offer,1
230,3969,2025-04-15,Personalized Offer,1
231,9803,2025-05-02,Cashback,1
232,7704,2025-05-08,Personalized Offer,0
233,7379,2025-05-19,Refer & Earn,0
234,6111,2025-03-12,Personalized Offer,0
235,9576,2025-05-19,Personalized Offer,1
236,4742,2025-04-28,Refer & Earn,1
237,1293,2025-03-12,Refer & Earn,1
238,8385,2025-03-13,Win-back,0
239,3745,2025-04-08,Win-back,0
240,1355,2025-05-01,Refer & Earn,0
241,8245,2025-04-23,Cashback,1
242,8046,2025-05-01,Win-back,1
243,7990,2025-05-16,Refer & Earn,1
244,2435,2025-03-20,Refer & Earn,0
245,9906,2025-04-18,Personalized Offer,0
246,1384,2025-05-24,Cashback,1
247,3428,2025-04-27,Personalized Offer,0
248,3392,2025-05-07,Win-back,1
249,1497,2025-05-09,Cashback,1
250,8135,2025-05-30,Cashback,0
251,1265,2025-05-14,Personalized Offer,1
252,4233,2025-05-10,Personalized Offer,0
253,4822,2025-03-23,Cashback,1
254,684,2025-05-21,Win-back,1
255,6726,2025-05-01,Personalized Offer,1
256,893,2025-04-02,Refer & Earn,0
257,6744,2025-03-19,Personalized Offer,0
258,8553,2025-03-14,Refer & Earn,1
259,5869,2025-03-25,Win-back,1
260,4359,2025-05-27,Win-back,0
261,4572,2025-03-19,Cashback,1
262,4898,2025-04-22,Win-back,1
263,4712,2025-05-14,Refer & Earn,1
264,3564,2025-04-04,Refer & Earn,1
265,8627,2025-03-25,Refer & Earn,0
266,1382,2025-05-20,Refer & Earn,0
267,4686,2025-03-22,Personalized Offer,1
268,4833,2025-03-24,Refer & Earn,1
269,5333,2025-05-06,Personalized Offer,1
270,2281,2025-03-21,Win-back,1
271,2267,2025-04-27,Cashback,1
272,4513,2025-05-13,Cashback,1
273,3748,2025-04-12,Personalized Offer,1
274,3337,2025-04-11,Cashback,1
275,7733,2025-05-08,Refer & Earn,0
276,8772,2025-04-06,Refer & Earn,1
277,3252,2025-04-14,Personalized Offer,1
278,7064,2025-05-26,Personalized Offer,0
279,2606,2025-03-19,Personalized Offer,1
280,6039,2025-03-29,Personalized Offer,1
281,1282,2025-03-18,Refer & Earn,0
282,5470,2025-04-09,Win-back,1
283,1286,2025-05-08,Personalized Offer,0
284,1396,2025-06-08,Win-back,1
285,2120,2025-03-23,Personalized Offer,1
286,3995,2025-03-15,Personalized Offer,1
287,982,2025-06-08,Cashback,0
288,2566,2025-04-15,Cashback,0
289,6848,2025-05-21,Win-back,0
290,9568,2025-04-27,Win-back,1
291,762,2025-05-20,Refer & Earn,0
292,622,2025-04-21,Cashback,1
293,5355,2025-04-25,Win-back,1
294,4870,2025-04-13,Personalized Offer,0
295,7827,2025-04-09,Refer & Earn,0
296,7459,2025-05-16,Personalized Offer,1
297,7914,2025-06-04,Personalized Offer,0
298,4997,2025-04-19,Refer & Earn,0
299,1159,2025-04-11,Win-back,1
300,7456,2025-05-24,Refer & Earn,0
301,8401,2025-04-10,Cashback,0
302,6006,2025-05-18,Refer & Earn,1
303,9644,2025-05-10,Cashback,0
304,3898,2025-03-11,Cashback,0
305,5967,2025-06-06,Win-back,0
306,2293,2025-05-09,Win-back,0
307,1626,2025-04-28,Refer & Earn,0
308,3772,2025-03-13,Cashback,1
309,7028,2025-04-09,Win-back,1
310,970,2025-04-11,Win-back,0
311,6672,2025-04-28,Cashback,0
312,8083,2025-04-04,Refer & Earn,1
313,7584,2025-04-21,Win-back,0
314,4983,2025-06-03,Refer & Earn,0
315,2809,2025-04-28,Win-back,0
316,9431,2025-03-23,Personalized Offer,0
317,605,2025-04-19,Cashback,0
318,1328,2025-05-13,Cashback,1
319,5926,2025-04-13,Personalized Offer,1
320,3742,2025-06-06,Refer & Earn,0
321,752,2025-03-19,Win-back,1
322,1486,2025-04-04,Personalized Offer,0
323,8615,2025-03-27,Refer & Earn,1
324,1954,2025-04-08,Personalized Offer,1
325,2257,2025-03-25,Personalized Offer,0
326,9971,2025-04-03,Personalized Offer,1
327,2450,2025-04-05,Cashback,1
328,223,2025-06-06,Personalized Offer,0
329,4492,2025-05-10,Refer & Earn,0
330,5725,2025-04-27,Win-back,0
331,598,2025-04-18,Refer & Earn,1
332,5629,2025-05-14,Win-back,1
333,88,2025-05-21,Personalized Offer,0
334,2879,2025-05-03,Cashback,0
335,3696,2025-03-15,Refer & Earn,1
336,5134,2025-03-28,Refer & Earn,0
337,4189,2025-03-13,Refer & Earn,1
338,5974,2025-03-16,Win-back,1
339,7409,2025-05-09,Personalized Offer,1
340,6230,2025-03-15,Personalized Offer,0
341,4125,2025-03-20,Cashback,1
342,4406,2025-05-28,Cashback,0
343,4249,2025-03-27,Refer & Earn,0
344,2221,2025-05-22,Win-back,0
345,1377,2025-05-10,Refer & Earn,1
346,6261,2025-03-20,Cashback,0
347,6581,2025-03-27,Refer & Earn,1
348,1722,2025-06-04,Personalized Offer,1
349,4623,2025-03-31,Win-back,1
350,7096,2025-05-27,Cashback,0
351,4623,2025-04-16,Win-back,1
352,2951,2025-03-30,Win-back,1
353,7546,2025-04-21,Personalized Offer,0
354,243,2025-05-27,Cashback,1
355,3379,2025-05-08,Cashback,1
356,7587,2025-04-23,Refer & Earn,0
357,9181,2025-04-24,Cashback,0
358,2266,2025-03-14,Cashback,0
359,3190,2025-03-11,Win-back,1
360,4440,2025-03-24,Win-back,1
361,9831,2025-05-27,Refer & Earn,0
362,7524,2025-04-14,Refer & Earn,1
363,8633,2025-03-29,Personalized Offer,1
364,3213,2025-05-31,Personalized Offer,0
365,6998,2025-03-27,Win-back,1
366,4611,2025-05-10,Personalized Offer,1
367,7886,2025-06-08,Personalized Offer,0
368,9088,2025-03-18,Win-back,0
369,8565,2025-06-05,Personalized Offer,1
370,9737,2025-03-30,Win-back,0
371,376,2025-04-12,Cashback,1
372,5830,2025-04-10,Win-back,0
373,3040,2025-03-20,Personalized Offer,1
374,4478,2025-04-18,Personalized Offer,0
375,6601,2025-05-16,Refer & Earn,1
376,198,2025-05-04,Cashback,0
377,2364,2025-04-29,Refer & Earn,1
378,33,2025-05-24,Win-back,0
379,2624,2025-04-01,Refer & Earn,1
380,4100,2025-05-17,Personalized Offer,1
381,1922,2025-04-01,Cashback,0
382,4554,2025-04-01,Cashback,1
383,2000,2025-05-11,Cashback,1
384,8041,2025-05-25,Win-back,1
385,9363,2025-04-29,Refer & Earn,0
386,5576,2025-04-14,Win-back,0
387,6519,2025-05-30,Refer & Earn,0
388,4005,2025-05-05,Refer & Earn,1
389,5786,2025-03-12,Win-back,1
390,6042,2025-04-26,Refer & Earn,1
391,783,2025-05-25,Personalized Offer,0
392,3681,2025-04-07,Personalized Offer,1
393,6830,2025-05-23,Win-back,0
394,5252,2025-05-01,Cashback,1
395,6495,2025-04-26,Win-back,1
396,9024,2025-04-15,Refer & Earn,0
397,9438,2025-04-10,Refer & Earn,0
398,2864,2025-04-26,Personalized Offer,1
399,6316,2025-05-29,Personalized Offer,1
400,5735,2025-05-12,Personalized Offer,1
401,7990,2025-04-17,Cashback,1
402,2254,2025-06-02,Win-back,0
403,990,2025-04-19,Win-back,0
404,8918,2025-04-17,Personalized Offer,0
405,3697,2025-05-01,Personalized Offer,0
406,6045,2025-04-14,Cashback,0
407,6627,2025-05-23,Win-back,0
408,7662,2025-03-21,Win-back,1
409,7412,2025-03-31,Personalized Offer,1
410,9560,2025-04-01,Cashback,1
411,9315,2025-05-30,Personalized Offer,1
412,3566,2025-06-05,Cashback,1
413,7491,2025-05-06,Win-back,0
414,8210,2025-04-03,Personalized Offer,0
415,4528,2025-03-20,Refer & Earn,0
416,4388,2025-04-16,Win-back,1
417,5104,2025-05-15,Refer & Earn,0
418,9653,2025-03-30,Refer & Earn,1
419,5464,2025-05-18,Refer & Earn,0
420,7731,2025-06-08,Personalized Offer,0
421,3980,2025-03-30,Win-back,1
422,2825,2025-05-17,Personalized Offer,1
423,6856,2025-05-13,Refer & Earn,1
424,6347,2025-05-02,Personalized Offer,0
425,1777,2025-05-21,Cashback,1
426,1562,2025-04-29,Personalized Offer,1
427,8607,2025-03-13,Refer & Earn,0
428,9050,2025-04-21,Win-back,1
429,3357,2025-03-12,Personalized Offer,0
430,5203,2025-05-28,Cashback,0
431,7744,2025-05-09,Cashback,0
432,6683,2025-05-22,Personalized Offer,0
433,9038,2025-05-30,Refer & Earn,0
434,7201,2025-05-29,Refer & Earn,0
435,2370,2025-04-18,Personalized Offer,1
436,5067,2025-03-25,Refer & Earn,1
437,6952,2025-05-30,Win-back,1
438,3469,2025-04-28,Cashback,1
439,2241,2025-04-24,Personalized Offer,0
440,3797,2025-04-08,Win-back,0
441,2011,2025-04-08,Cashback,1
442,3700,2025-03-14,Cashback,1
443,5228,2025-05-17,Cashback,1
444,2938,2025-04-09,Cashback,1
445,4766,2025-05-07,Cashback,1
446,5875,2025-05-18,Win-back,0
447,1558,2025-06-06,Win-back,1
448,2947,2025-04-24,Win-back,0
449,5167,2025-03-14,Refer & Earn,1
450,2583,2025-04-05,Personalized Offer,0
451,2106,2025-04-09,Cashback,1
452,3114,2025-03-29,Win-back,1
453,2298,2025-03-28,Personalized Offer,1
454,5744,2025-06-06,Win-back,1
455,477,2025-04-15,Personalized Offer,0
456,2272,2025-04-01,Refer & Earn,0
457,4817,2025-04-01,Cashback,0
458,6456,2025-06-01,Refer & Earn,1
459,8204,2025-03-24,Win-back,1
460,7086,2025-04-19,Cashback,0
461,495,2025-05-28,Personalized Offer,1
462,6973,2025-05-21,Win-back,0
463,2006,2025-03-20,Win-back,0
464,2558,2025-05-10,Cashback,1
465,3634,2025-04-13,Win-back,1
466,482,2025-05-15,Win-back,1
467,3071,2025-06-05,Win-back,1
468,2317,2025-04-14,Personalized Offer,0
469,8659,2025-05-11,Refer & Earn,1
470,9537,2025-05-24,Cashback,0
471,2963,2025-03-31,Refer & Earn,0
472,7165,2025-04-06,Personalized Offer,0
473,8338,2025-04-17,Personalized Offer,0
474,24,2025-04-13,Cashback,1
475,8015,2025-04-01,Cashback,1
476,2351,2025-03-23,Refer & Earn,1
477,1767,2025-04-06,Cashback,1
478,7675,2025-06-03,Refer & Earn,1
479,1240,2025-04-10,Win-back,1
480,9129,2025-03-19,Win-back,1
481,5435,2025-03-14,Cashback,0
482,2097,2025-04-23,Refer & Earn,1
483,9053,2025-03-19,Cashback,1
484,565,2025-04-26,Win-back,0
485,4661,2025-03-14,Cashback,0
486,6833,2025-03-15,Cashback,0
487,1774,2025-05-30,Win-back,0
488,6185,2025-06-07,Win-back,0
489,2588,2025-05-22,Personalized Offer,1
490,9308,2025-06-08,Cashback,1
491,1608,2025-04-08,Refer & Earn,0
492,4778,2025-04-27,Personalized Offer,1
493,1338,2025-03-26,Cashback,1
494,4576,2025-03-26,Refer & Earn,0
495,3051,2025-06-06,Refer & Earn,1
496,7885,2025-04-01,Personalized Offer,0
497,9640,2025-04-29,Personalized Offer,1
498,6115,2025-05-31,Personalized Offer,0
499,892,2025-05-26,Personalized Offer,0
500,6299,2025-05-22,Cashback,0
501,3779,2025-04-19,Refer & Earn,1
502,4881,2025-03-30,Win-back,1
503,4640,2025-03-30,Refer & Earn,0
504,3201,2025-06-08,Refer & Earn,1
505,1614,2025-05-05,Cashback,0
506,1800,2025-05-09,Cashback,1
507,3535,2025-04-15,Personalized Offer,0
508,1036,2025-03-23,Cashback,1
509,8157,2025-03-14,Personalized Offer,0
510,5821,2025-06-03,Win-back,1
511,2842,2025-05-29,Refer & Earn,0
512,4888,2025-03-21,Personalized Offer,1
513,1462,2025-04-29,Personalized Offer,1
514,42,2025-05-15,Win-back,1
515,9825,2025-05-06,Refer & Earn,1
516,9300,2025-03-19,Personalized Offer,1
517,8445,2025-04-07,Personalized Offer,1
518,1244,2025-06-02,Personalized Offer,1
519,1730,2025-04-11,Win-back,0
520,1868,2025-05-17,Personalized Offer,0
521,4417,2025-05-19,Cashback,1
522,6941,2025-05-11,Personalized Offer,1
523,9290,2025-03-14,Refer & Earn,0
524,5498,2025-03-14,Cashback,1
525,4597,2025-04-06,Cashback,1
526,2389,2025-05-19,Personalized Offer,0
527,7325,2025-04-01,Win-back,0
528,6554,2025-04-17,Personalized Offer,0
529,4484,2025-05-21,Win-back,1
530,502,2025-03-27,Win-back,0
531,6547,2025-04-11,Refer & Earn,1
532,3907,2025-04-04,Refer & Earn,1
533,7587,2025-04-15,Refer & Earn,0
534,3906,2025-03-26,Cashback,0
535,6894,2025-04-12,Win-back,1
536,524,2025-06-06,Cashback,0
537,9010,2025-06-03,Personalized Offer,0
538,4657,2025-04-22,Win-back,0
539,3459,2025-04-02,Win-back,0
540,4,2025-03-27,Cashback,1
541,7246,2025-06-06,Cashback,1
542,1767,2025-03-24,Cashback,0
543,2406,2025-04-11,Personalized Offer,0
544,4804,2025-03-25,Personalized Offer,1
545,3512,2025-06-08,Personalized Offer,1
546,9126,2025-06-01,Personalized Offer,0
547,5939,2025-05-25,Cashback,0
548,5532,2025-04-23,Personalized Offer,1
549,9030,2025-04-01,Personalized Offer,0
550,8733,2025-04-26,Cashback,1
551,6148,2025-04-11,Refer & Earn,0
552,1744,2025-03-28,Cashback,1
553,2894,2025-05-30,Refer & Earn,0
554,1998,2025-05-03,Personalized Offer,0
555,7836,2025-03-15,Personalized Offer,1
556,1046,2025-04-11,Refer & Earn,0
557,5104,2025-04-12,Refer & Earn,1
558,4695,2025-04-24,Personalized Offer,0
559,2138,2025-04-16,Personalized Offer,0
560,826,2025-04-16,Cashback,0
561,195,2025-03-11,Win-back,0
562,9494,2025-05-13,Win-back,1
563,5626,2025-05-24,Cashback,0
564,938,2025-06-06,Win-back,0
565,8006,2025-05-15,Cashback,1
566,6625,2025-03-20,Win-back,1
567,1211,2025-04-02,Cashback,0
568,1978,2025-05-21,Refer & Earn,0
569,5829,2025-05-14,Personalized Offer,0
570,4137,2025-04-26,Cashback,1
571,9676,2025-04-06,Cashback,1
572,2747,2025-05-23,Win-back,1
573,4622,2025-03-22,Personalized Offer,0
574,3455,2025-06-05,Refer & Earn,0
575,6218,2025-06-06,Cashback,0
576,3556,2025-04-07,Personalized Offer,0
577,3745,2025-05-21,Win-back,0
578,3324,2025-03-13,Cashback,1
579,2180,2025-04-26,Win-back,1
580,2260,2025-04-24,Refer & Earn,0
581,3082,2025-04-19,Refer & Earn,1
582,6561,2025-05-09,Personalized Offer,1
583,8103,2025-05-22,Refer & Earn,1
584,1296,2025-05-07,Win-back,0
585,5085,2025-04-15,Cashback,1
586,8229,2025-03-28,Cashback,1
587,2453,2025-03-26,Refer & Earn,0
588,3898,2025-03-31,Personalized Offer,1
589,1299,2025-03-26,Personalized Offer,1
590,501,2025-04-08,Personalized Offer,1
591,8045,2025-04-11,Refer & Earn,1
592,1026,2025-04-07,Win-back,0
593,2536,2025-03-29,Personalized Offer,1
594,8781,2025-05-30,Personalized Offer,1
595,4980,2025-05-22,Cashback,1
596,7002,2025-05-24,Personalized Offer,0
597,9761,2025-04-25,Cashback,0
598,7973,2025-05-22,Win-back,0
599,2645,2025-03-25,Cashback,0
600,5603,2025-05-25,Cashback,1
601,6212,2025-05-16,Win-back,1
602,9145,2025-03-18,Refer & Earn,1
603,3757,2025-05-27,Personalized Offer,0
604,2914,2025-05-02,Win-back,1
605,2806,2025-03-13,Cashback,1
606,5297,2025-05-11,Cashback,1
607,8045,2025-05-21,Refer & Earn,0
608,4320,2025-05-19,Win-back,1
609,1288,2025-03-18,Win-back,0
610,3014,2025-06-08,Personalized Offer,1
611,1559,2025-04-18,Win-back,0
612,1386,2025-04-21,Refer & Earn,1
613,3748,2025-04-02,Win-back,1
614,2168,2025-04-28,Win-back,0
615,4911,2025-06-04,Win-back,1
616,2310,2025-04-20,Win-back,1
617,3103,2025-05-21,Refer & Earn,0
618,9639,2025-04-17,Personalized Offer,1
619,7468,2025-05-21,Cashback,0
620,247,2025-05-06,Cashback,0
621,6162,2025-03-26,Refer & Earn,0
622,9073,2025-04-05,Personalized Offer,0
623,7908,2025-05-23,Refer & Earn,0
624,7895,2025-05-04,Personalized Offer,0
625,5505,2025-05-10,Personalized Offer,1
626,2825,2025-03-17,Win-back,1
627,8358,2025-04-28,Personalized Offer,1
628,2863,2025-05-08,Refer & Earn,1
629,3914,2025-05-27,Personalized Offer,0
630,7061,2025-04-06,Personalized Offer,0
631,337,2025-06-03,Cashback,0
632,7927,2025-04-10,Refer & Earn,0
633,6980,2025-03-28,Cashback,0
634,7021,2025-05-05,Personalized Offer,0
635,7224,2025-03-29,Refer & Earn,0
636,7619,2025-03-19,Cashback,1
637,6478,2025-03-25,Cashback,1
638,3333,2025-04-19,Win-back,1
639,5434,2025-04-15,Refer & Earn,0
640,7677,2025-05-02,Cashback,0
641,9787,2025-04-07,Cashback,0
642,4468,2025-05-12,Win-back,0
643,1979,2025-05-16,Win-back,1
644,2179,2025-03-15,Personalized Offer,0
645,7093,2025-05-24,Win-back,0
646,2876,2025-03-20,Cashback,1
647,8295,2025-04-29,Win-back,1
648,7090,2025-05-07,Win-back,1
649,3971,2025-06-07,Cashback,0
650,7442,2025-03-19,Refer & Earn,0
651,7842,2025-05-22,Refer & Earn,0
652,351,2025-05-25,Refer & Earn,1
653,3990,2025-04-25,Cashback,1
654,3433,2025-03-12,Win-back,0
655,8228,2025-04-24,Personalized Offer,0
656,3827,2025-04-03,Personalized Offer,0
657,2176,2025-04-26,Cashback,1
658,2002,2025-05-05,Personalized Offer,0
659,9889,2025-05-14,Refer & Earn,1
660,5911,2025-04-07,Personalized Offer,0
661,1735,2025-05-04,Refer & Earn,0
662,4438,2025-06-04,Personalized Offer,0
663,1908,2025-06-03,Refer & Earn,1
664,9865,2025-04-22,Personalized Offer,1
665,8338,2025-04-15,Cashback,0
666,9884,2025-03-30,Personalized Offer,1
667,687,2025-03-18,Personalized Offer,1
668,7573,2025-03-15,Personalized Offer,1
669,4030,2025-05-28,Personalized Offer,0
670,9510,2025-05-10,Refer & Earn,0
671,3406,2025-03-28,Cashback,1
672,8794,2025-05-11,Personalized Offer,0
673,4688,2025-04-18,Personalized Offer,0
674,170,2025-04-17,Personalized Offer,0
675,4265,2025-04-12,Personalized Offer,0
676,2972,2025-04-22,Personalized Offer,1
677,9101,2025-04-26,Cashback,1
678,5470,2025-04-14,Win-back,0
679,6779,2025-04-04,Cashback,0
680,207,2025-05-17,Refer & Earn,0
681,952,2025-04-10,Win-back,1
682,4016,2025-03-15,Personalized Offer,0
