ticket_id,user_id,issue_type,created_at,resolved
101,9706,KYC Issue,2025-03-11,1
102,7132,KYC Issue,2024-12-27,1
103,355,Slow App,2025-04-23,0
104,1869,Slow App,2025-01-04,1
105,4977,KYC Issue,2025-04-03,1
106,7055,Slow App,2025-03-07,0
107,2777,Login Issue,2025-03-31,0
108,2123,Refund Not Received,2024-12-31,1
109,643,Login Issue,2025-02-07,0
110,8597,KYC Issue,2025-03-25,1
111,9375,Login Issue,2025-03-12,0
112,6036,KYC Issue,2024-12-11,1
113,707,Login Issue,2025-01-04,0
114,6352,Slow App,2024-12-15,1
115,8025,KYC Issue,2025-04-04,0
116,3279,KYC Issue,2024-12-24,1
117,9725,Slow App,2025-04-16,0
118,5356,Payment Failed,2025-03-23,1
119,7690,Payment Failed,2025-01-09,1
120,4064,KYC Issue,2025-05-29,0
121,2596,Payment Failed,2025-03-06,1
122,594,Login Issue,2025-03-08,0
123,7948,Refund Not Received,2025-05-16,0
124,203,KYC Issue,2024-12-16,0
125,8682,Refund Not Received,2025-06-08,0
126,9716,Slow App,2025-04-20,0
127,4020,Login Issue,2025-01-28,0
128,4220,Login Issue,2025-04-26,0
129,7765,KYC Issue,2024-12-23,0
130,1731,Login Issue,2024-12-18,0
131,3796,Slow App,2025-02-21,0
132,9303,Payment Failed,2025-03-16,1
133,2608,Refund Not Received,2024-12-25,1
134,6023,Payment Failed,2025-05-13,0
135,5089,Refund Not Received,2025-05-07,0
136,2872,Refund Not Received,2025-01-07,1
137,2744,Login Issue,2025-02-17,1
138,6749,Slow App,2025-03-22,1
139,708,Refund Not Received,2025-05-28,1
140,702,Slow App,2025-05-21,1
141,755,Login Issue,2025-03-16,1
142,8921,KYC Issue,2025-03-18,1
143,5654,Login Issue,2024-12-30,1
144,6297,Slow App,2025-04-12,0
145,47,KYC Issue,2025-05-14,1
146,8406,Login Issue,2024-12-25,1
147,6574,KYC Issue,2025-05-01,0
148,193,Slow App,2025-02-25,1
149,8500,Refund Not Received,2025-01-03,0
150,2088,Payment Failed,2025-03-15,0
151,7654,Refund Not Received,2025-05-23,0
152,2118,Slow App,2025-03-01,0
153,9638,Login Issue,2025-02-06,0
154,7366,Payment Failed,2025-01-14,0
155,4419,Login Issue,2025-05-23,1
156,3266,Refund Not Received,2025-03-19,0
157,5949,Slow App,2025-01-01,0
158,5244,KYC Issue,2025-02-13,1
159,2021,Slow App,2024-12-19,0
160,4683,KYC Issue,2025-06-01,0
161,9939,KYC Issue,2025-02-21,0
162,1109,Login Issue,2025-04-12,0
163,1767,Payment Failed,2025-03-15,0
164,9787,Refund Not Received,2025-05-11,1
165,4983,KYC Issue,2025-01-10,0
166,2135,Refund Not Received,2025-03-08,0
167,2766,Login Issue,2024-12-24,1
168,4817,KYC Issue,2025-04-14,0
169,9378,KYC Issue,2025-04-29,0
170,9960,Payment Failed,2024-12-24,0
171,7013,Slow App,2024-12-11,1
172,3350,Refund Not Received,2025-02-16,1
173,9279,Payment Failed,2025-03-31,1
174,477,Refund Not Received,2025-03-01,1
175,8122,KYC Issue,2025-03-27,0
176,4358,Slow App,2025-01-13,0
177,8971,Login Issue,2025-04-20,1
178,5786,Slow App,2025-01-30,0
179,5914,Slow App,2025-05-05,0
180,1422,Payment Failed,2025-03-27,0
181,7166,Slow App,2025-02-05,0
182,4728,Refund Not Received,2025-02-09,1
183,5702,Login Issue,2025-02-22,0
184,3397,KYC Issue,2025-01-27,0
185,7533,KYC Issue,2025-01-15,0
186,746,Login Issue,2025-02-21,0
187,5196,Slow App,2025-03-20,1
188,3846,Payment Failed,2025-03-28,1
189,8863,Payment Failed,2025-05-30,0
190,3218,Login Issue,2024-12-18,0
191,6424,Payment Failed,2025-03-15,1
192,6321,Slow App,2025-04-14,0
193,543,Payment Failed,2025-04-27,0
194,5049,Payment Failed,2025-03-06,1
195,5517,Payment Failed,2025-04-22,1
196,2864,KYC Issue,2025-04-23,0
197,847,Payment Failed,2025-03-12,1
198,2982,KYC Issue,2024-12-19,1
199,6328,Login Issue,2025-05-22,1
200,9968,KYC Issue,2025-02-27,0
201,6919,KYC Issue,2024-12-22,1
202,3035,KYC Issue,2025-05-07,1
203,6188,Slow App,2025-02-22,0
204,8177,Refund Not Received,2025-02-17,0
205,7155,Login Issue,2025-02-04,0
206,9556,KYC Issue,2025-02-23,0
207,5609,Slow App,2025-06-01,1
208,1654,Login Issue,2025-03-28,1
209,5064,Login Issue,2025-02-26,1
210,4918,KYC Issue,2025-04-19,1
211,9107,Login Issue,2025-04-09,0
212,8477,Refund Not Received,2025-05-15,1
213,9169,Slow App,2025-01-26,1
214,8149,Slow App,2024-12-15,1
215,639,Refund Not Received,2025-05-27,0
216,4567,Slow App,2025-01-21,1
217,3013,Payment Failed,2025-05-27,1
218,583,Payment Failed,2025-03-17,1
219,5796,Refund Not Received,2025-01-31,0
220,8905,Login Issue,2025-05-09,1
221,6741,KYC Issue,2025-03-25,0
222,3540,Slow App,2025-03-30,0
223,6977,Login Issue,2025-02-23,1
224,136,Slow App,2025-02-05,1
225,583,Payment Failed,2025-06-03,0
226,7762,Payment Failed,2025-02-14,0
227,8644,Login Issue,2025-04-02,1
228,7976,Refund Not Received,2025-01-14,0
229,1556,Slow App,2025-04-11,0
230,7541,KYC Issue,2025-01-04,1
231,5983,KYC Issue,2025-04-17,1
232,2006,Payment Failed,2025-02-19,1
233,511,Login Issue,2025-04-09,0
234,8252,KYC Issue,2025-01-18,0
235,3653,KYC Issue,2025-03-13,0
236,7929,Refund Not Received,2025-02-20,0
237,1054,Refund Not Received,2024-12-20,0
238,8825,KYC Issue,2025-02-12,1
239,8571,Refund Not Received,2025-06-05,1
240,21,Payment Failed,2024-12-20,1
241,9851,Login Issue,2025-01-02,0
242,8140,KYC Issue,2025-03-09,1
243,3768,Payment Failed,2025-06-03,1
244,2422,Refund Not Received,2025-03-09,1
245,541,Slow App,2025-05-14,1
246,6094,Refund Not Received,2025-05-03,1
247,5580,Login Issue,2025-01-02,1
248,1193,KYC Issue,2025-04-03,1
249,7345,KYC Issue,2025-04-06,0
250,2611,Refund Not Received,2025-03-24,0
251,6684,KYC Issue,2025-05-24,1
252,6074,Payment Failed,2025-03-20,1
253,5688,KYC Issue,2025-05-14,0
254,1061,KYC Issue,2025-02-16,0
255,2699,Refund Not Received,2025-05-06,0
256,561,KYC Issue,2025-02-03,0
257,4452,KYC Issue,2025-02-28,0
258,4362,Login Issue,2025-04-18,1
259,7371,Login Issue,2025-03-24,1
260,8294,Refund Not Received,2025-05-29,0
261,1564,KYC Issue,2025-04-14,1
262,1207,KYC Issue,2025-05-02,0
263,19,Payment Failed,2025-06-01,0
264,8848,KYC Issue,2025-05-03,0
265,3558,Refund Not Received,2025-02-15,1
266,7505,KYC Issue,2025-03-29,1
267,2329,Refund Not Received,2025-05-22,1
268,2206,Slow App,2025-03-09,0
269,1404,Login Issue,2025-03-24,1
270,9700,Payment Failed,2025-04-01,1
271,4404,Slow App,2025-05-08,1
272,9117,Login Issue,2025-06-08,1
273,9506,Refund Not Received,2025-04-08,0
274,9142,KYC Issue,2025-02-17,0
275,257,Login Issue,2025-04-03,1
276,5946,Payment Failed,2024-12-16,0
277,2875,Refund Not Received,2025-04-10,0
278,7811,Slow App,2024-12-28,1
279,8309,Login Issue,2025-02-14,0
280,925,Login Issue,2025-04-30,1
281,424,Refund Not Received,2024-12-18,1
282,7879,Refund Not Received,2025-03-11,1
283,2445,Login Issue,2025-03-21,0
284,5660,Payment Failed,2025-03-03,0
285,1602,Refund Not Received,2025-05-26,0
286,3765,Slow App,2025-05-01,0
287,3429,Payment Failed,2025-02-17,0
288,6167,Refund Not Received,2025-03-14,1
289,4415,Slow App,2025-02-13,0
290,2509,Refund Not Received,2025-04-05,1
291,4253,KYC Issue,2025-05-19,0
292,8856,Refund Not Received,2025-04-23,1
293,7569,Login Issue,2025-04-09,1
294,2656,Payment Failed,2025-01-29,1
295,3364,KYC Issue,2025-01-02,0
296,2720,Refund Not Received,2025-01-18,0
297,4371,Login Issue,2025-02-26,0
298,1336,Login Issue,2025-03-04,1
299,1876,Refund Not Received,2024-12-28,1
300,1650,Refund Not Received,2025-04-14,1
301,708,Refund Not Received,2025-06-03,1
302,5091,Refund Not Received,2025-05-17,0
303,4406,Login Issue,2025-03-21,0
304,8476,KYC Issue,2024-12-22,1
305,8668,Refund Not Received,2025-01-28,1
306,6166,Slow App,2025-04-30,0
307,3966,KYC Issue,2025-05-12,0
308,3684,KYC Issue,2025-03-03,0
309,5905,Refund Not Received,2025-02-23,0
310,7591,Slow App,2025-02-21,1
311,7803,KYC Issue,2024-12-18,1
312,8214,Refund Not Received,2025-03-13,0
313,8958,Login Issue,2025-02-28,1
314,5526,Slow App,2025-02-03,1
315,1812,Login Issue,2025-04-24,1
316,5229,Payment Failed,2025-03-13,0
317,4844,Refund Not Received,2025-01-13,1
318,2002,Refund Not Received,2025-01-11,0
319,5296,Slow App,2025-02-25,0
320,9624,Payment Failed,2025-01-27,1
321,5995,Refund Not Received,2025-01-03,0
322,1635,Login Issue,2025-03-20,1
323,9489,Refund Not Received,2024-12-18,0
324,1492,Payment Failed,2025-04-12,0
325,3442,Payment Failed,2024-12-21,1
326,2438,Payment Failed,2024-12-20,1
327,2120,KYC Issue,2025-02-08,1
328,3567,Login Issue,2025-04-15,1
329,5147,Slow App,2025-01-19,1
330,602,Payment Failed,2025-05-28,1
331,1927,Slow App,2025-02-08,1
332,4788,Login Issue,2024-12-23,0
333,5364,Slow App,2025-04-24,0
334,6530,KYC Issue,2025-01-15,0
335,574,Refund Not Received,2025-01-07,1
336,5697,Refund Not Received,2025-01-26,1
337,4495,Refund Not Received,2025-06-03,0
338,3559,KYC Issue,2025-03-12,1
339,9577,Login Issue,2025-01-02,0
340,4959,Refund Not Received,2025-01-01,1
341,725,Slow App,2024-12-15,1
342,7867,Login Issue,2025-04-27,1
343,1258,Slow App,2025-05-19,1
344,4342,Refund Not Received,2025-01-03,0
345,5243,Refund Not Received,2025-03-14,1
346,8680,Refund Not Received,2025-03-08,0
347,7004,KYC Issue,2025-04-12,1
348,3958,Refund Not Received,2025-02-14,0
349,7868,Payment Failed,2025-03-31,1
350,6749,KYC Issue,2025-05-13,0
351,4610,Payment Failed,2025-03-16,1
352,7196,Payment Failed,2025-02-03,1
353,5237,Login Issue,2024-12-18,1
354,8483,KYC Issue,2025-04-25,1
355,5478,Payment Failed,2025-05-31,0
356,7838,Slow App,2025-01-18,0
357,7366,Payment Failed,2024-12-12,1
358,7608,KYC Issue,2025-03-05,1
359,5661,KYC Issue,2025-04-07,1
360,3127,KYC Issue,2025-05-15,0
361,9258,Login Issue,2025-02-04,0
362,9064,Slow App,2025-02-20,0
363,4553,Refund Not Received,2025-03-25,0
364,9032,Refund Not Received,2025-01-15,1
365,7223,KYC Issue,2025-04-03,0
366,2811,Login Issue,2025-01-05,0
367,8363,Payment Failed,2025-04-05,1
368,8515,Payment Failed,2025-02-19,0
369,861,KYC Issue,2024-12-13,0
370,3768,Refund Not Received,2025-01-11,1
371,1760,KYC Issue,2025-05-26,1
372,245,Slow App,2025-05-17,0
373,8635,KYC Issue,2025-05-02,0
374,5875,Login Issue,2024-12-11,0
375,256,Refund Not Received,2024-12-22,1
376,808,Payment Failed,2025-03-26,0
377,5119,Slow App,2025-03-22,0
378,89,Login Issue,2025-01-09,0
379,7034,Refund Not Received,2025-03-22,0
380,1186,Payment Failed,2025-04-24,0
381,6663,Login Issue,2025-03-01,1
382,5909,Refund Not Received,2025-03-21,1
383,6011,KYC Issue,2025-05-15,0
384,5410,Slow App,2024-12-31,0
385,6728,Payment Failed,2025-03-24,1
386,2762,Slow App,2024-12-19,1
387,73,Slow App,2025-03-11,1
388,6993,Refund Not Received,2025-01-15,0
389,2024,Refund Not Received,2025-04-06,0
390,2442,Login Issue,2025-04-26,0
391,7564,Refund Not Received,2025-02-02,1
392,1900,Payment Failed,2024-12-19,0
393,1369,Payment Failed,2025-02-08,0
394,2858,Slow App,2025-02-10,0
395,5708,Login Issue,2025-06-04,1
396,190,Login Issue,2024-12-28,0
397,1213,Login Issue,2025-02-20,1
398,4762,Refund Not Received,2025-02-13,1
399,4455,Login Issue,2025-02-05,0
400,6967,Slow App,2025-05-24,1
401,7395,Login Issue,2025-03-18,0
402,3905,Refund Not Received,2025-03-02,1
403,9279,KYC Issue,2025-03-15,1
404,7805,Payment Failed,2025-02-05,0
405,4689,Refund Not Received,2025-01-31,0
406,2650,KYC Issue,2025-04-08,1
407,463,Refund Not Received,2025-02-28,1
408,6347,Payment Failed,2025-06-02,1
409,3019,Payment Failed,2025-04-23,1
410,3258,KYC Issue,2025-01-30,0
411,6558,Login Issue,2025-03-07,0
412,2241,Payment Failed,2025-05-31,0
413,7446,Login Issue,2025-04-07,0
414,459,Slow App,2025-01-14,0
415,6192,Refund Not Received,2025-05-21,0
416,7707,Payment Failed,2025-05-13,1
417,4814,Payment Failed,2025-02-20,1
418,7129,Payment Failed,2025-03-09,0
419,8581,KYC Issue,2025-02-02,0
420,5079,Slow App,2025-05-09,0
421,9383,Slow App,2025-05-19,0
422,6594,Slow App,2025-05-23,1
423,8229,Payment Failed,2025-05-21,0
424,6150,Refund Not Received,2024-12-23,1
425,8633,KYC Issue,2025-02-28,1
426,2753,Payment Failed,2025-04-29,0
427,8665,Refund Not Received,2025-05-28,0
428,2386,KYC Issue,2025-04-16,1
429,922,Refund Not Received,2025-02-01,0
430,3041,Refund Not Received,2025-03-31,1
431,3523,Login Issue,2025-02-08,0
432,3441,Slow App,2025-03-23,1
433,6688,KYC Issue,2025-04-09,1
434,7056,Payment Failed,2025-04-23,0
435,5075,Login Issue,2025-01-21,1
436,1382,Refund Not Received,2025-03-05,0
437,7390,Login Issue,2025-01-06,0
438,6188,Login Issue,2025-01-25,0
439,5570,KYC Issue,2025-02-28,1
440,3884,Refund Not Received,2025-03-24,1
441,3888,KYC Issue,2025-01-27,0
442,6365,Login Issue,2025-05-30,0
443,6902,Payment Failed,2025-03-05,1
444,1714,Login Issue,2025-01-07,1
445,3873,KYC Issue,2025-01-15,1
446,9954,Refund Not Received,2025-01-11,1
447,8272,Slow App,2025-05-07,0
448,7852,Refund Not Received,2025-04-08,0
449,5370,Payment Failed,2025-05-22,1
450,171,KYC Issue,2025-04-16,0
451,2921,KYC Issue,2025-02-28,1
452,2738,KYC Issue,2025-05-26,1
453,1336,Refund Not Received,2025-01-10,1
454,7079,Refund Not Received,2025-03-18,0
455,7823,Refund Not Received,2025-04-09,1
456,7312,Payment Failed,2025-04-12,1
457,9483,Refund Not Received,2025-06-02,1
458,9582,Slow App,2025-02-06,1
459,6374,Slow App,2025-05-11,0
460,3358,Refund Not Received,2025-03-06,1
461,4980,Payment Failed,2025-01-08,0
462,8663,Payment Failed,2025-03-20,0
463,748,Payment Failed,2025-04-15,1
464,7716,KYC Issue,2025-02-22,1
465,4696,Login Issue,2025-01-01,0
466,5375,Refund Not Received,2025-05-03,1
467,8793,Refund Not Received,2025-02-08,1
468,3326,KYC Issue,2025-05-22,1
469,6122,Slow App,2025-01-17,1
470,4646,Login Issue,2025-01-24,1
471,2877,Payment Failed,2025-04-11,1
472,709,Slow App,2025-05-15,0
473,6685,KYC Issue,2025-02-03,0
474,6376,KYC Issue,2025-02-01,0
475,6183,Slow App,2025-01-08,0
476,4993,KYC Issue,2025-03-23,1
477,9443,Login Issue,2025-05-20,0
478,384,KYC Issue,2025-04-09,0
479,8455,Refund Not Received,2024-12-17,0
480,7927,Refund Not Received,2025-04-15,0
481,5627,Payment Failed,2025-02-24,0
482,5776,Login Issue,2025-05-18,0
483,4638,KYC Issue,2025-03-16,0
484,5944,KYC Issue,2025-04-12,1
485,9357,Refund Not Received,2025-01-27,1
486,2530,Payment Failed,2025-01-31,0
487,772,Login Issue,2025-05-19,0
488,9831,Login Issue,2025-06-08,1
489,8699,Login Issue,2025-04-10,0
490,1967,Refund Not Received,2025-01-04,1
491,5698,Refund Not Received,2025-03-15,1
492,5675,Slow App,2025-01-01,1
493,9581,Refund Not Received,2025-04-05,0
494,9404,Login Issue,2025-02-01,1
495,6386,Login Issue,2025-01-11,1
496,2155,Refund Not Received,2025-02-01,1
497,2600,Refund Not Received,2025-05-24,1
498,447,KYC Issue,2025-02-21,0
499,9102,Slow App,2025-03-27,1
500,6221,Slow App,2025-03-06,1
501,6012,Refund Not Received,2025-03-02,0
502,4368,Slow App,2024-12-11,0
503,5915,KYC Issue,2025-04-01,1
504,1613,Slow App,2025-03-01,1
505,1690,KYC Issue,2025-03-03,0
506,7079,Refund Not Received,2025-02-12,1
507,1876,Refund Not Received,2025-04-24,0
508,3034,KYC Issue,2025-03-23,1
509,1397,Payment Failed,2025-04-13,1
510,5903,KYC Issue,2025-04-14,0
511,9830,Login Issue,2025-04-28,0
512,5684,Payment Failed,2025-02-18,0
513,5569,Payment Failed,2025-04-10,1
514,8131,Login Issue,2025-02-21,1
515,1359,Payment Failed,2025-05-04,0
516,7816,Payment Failed,2025-05-31,0
517,1118,Payment Failed,2025-02-03,1
518,2760,Login Issue,2025-03-15,0
519,1364,Login Issue,2025-05-21,0
520,9536,Slow App,2025-05-04,1
521,5564,KYC Issue,2025-02-07,1
522,8182,KYC Issue,2025-01-26,0
523,6170,Refund Not Received,2025-03-22,1
524,9065,Login Issue,2025-05-05,0
525,7735,Refund Not Received,2025-01-01,1
526,2950,KYC Issue,2025-01-03,1
527,6344,Payment Failed,2025-02-13,0
528,7836,Login Issue,2025-03-31,0
529,2484,Payment Failed,2025-01-11,1
530,8170,Login Issue,2025-05-08,1
531,2379,Refund Not Received,2024-12-21,1
532,114,Login Issue,2025-03-05,0
533,3042,KYC Issue,2025-03-13,1
534,7451,KYC Issue,2025-02-19,1
535,231,Refund Not Received,2025-03-16,1
536,4685,Payment Failed,2025-01-17,0
537,7851,KYC Issue,2025-05-06,1
538,8094,KYC Issue,2025-04-22,0
539,3899,Refund Not Received,2025-05-24,0
540,9712,Payment Failed,2025-03-07,0
541,9851,Refund Not Received,2024-12-28,1
542,7709,Slow App,2025-02-01,1
543,900,Login Issue,2024-12-18,1
544,8524,KYC Issue,2025-02-07,0
545,595,Slow App,2025-04-14,1
546,1821,Refund Not Received,2024-12-12,0
547,4673,Slow App,2024-12-18,0
548,3243,Refund Not Received,2025-03-14,0
549,4934,Login Issue,2025-05-20,1
550,2438,Refund Not Received,2025-04-30,1
551,645,Slow App,2025-02-13,1
552,7264,Payment Failed,2025-04-09,0
553,1664,Slow App,2025-03-22,1
554,7088,Login Issue,2025-03-26,0
555,2421,Refund Not Received,2024-12-14,1
556,6848,Payment Failed,2025-01-12,0
557,8539,Slow App,2025-02-08,1
558,1562,Refund Not Received,2025-06-05,1
559,3759,KYC Issue,2025-02-19,0
560,828,KYC Issue,2025-01-06,0
561,750,Payment Failed,2025-03-23,1
562,6324,Payment Failed,2025-05-05,1
563,1110,KYC Issue,2025-02-11,1
564,8843,Login Issue,2025-04-25,0
565,5493,Payment Failed,2025-05-17,0
566,6629,KYC Issue,2025-05-26,1
567,1276,Login Issue,2025-01-13,0
568,7266,Payment Failed,2025-01-19,1
569,8222,Payment Failed,2025-03-18,1
570,7088,Slow App,2025-02-04,1
571,9039,Login Issue,2025-03-15,1
572,1596,Login Issue,2025-03-13,1
573,5068,Login Issue,2025-04-11,0
574,2083,Slow App,2025-03-03,0
575,1689,Slow App,2025-01-27,0
576,9178,Payment Failed,2024-12-14,1
577,5647,KYC Issue,2025-04-26,0
578,5879,Refund Not Received,2025-02-05,0
579,2036,Payment Failed,2025-02-09,1
580,983,KYC Issue,2024-12-22,1
581,5628,Login Issue,2025-03-13,0
582,2411,Refund Not Received,2025-06-02,0
583,6197,Payment Failed,2025-04-30,0
584,6612,Payment Failed,2025-04-22,0
585,4835,Payment Failed,2025-01-10,0
586,2056,Login Issue,2025-05-01,0
587,200,KYC Issue,2025-05-13,0
588,2878,Slow App,2025-03-28,1
589,446,Slow App,2024-12-28,0
590,9293,KYC Issue,2025-04-25,0
591,7477,Login Issue,2025-01-29,1
592,3145,Refund Not Received,2025-05-31,0
593,6419,Slow App,2025-02-02,0
594,575,Slow App,2025-06-02,1
595,1643,Payment Failed,2025-05-14,1
596,9549,Login Issue,2025-05-09,1
597,7607,Slow App,2025-05-28,0
598,8545,Slow App,2025-06-07,0
599,5596,KYC Issue,2025-05-23,0
600,7048,KYC Issue,2025-01-29,0
601,417,Login Issue,2025-02-19,1
602,4373,Login Issue,2025-05-25,0
603,8693,Refund Not Received,2025-02-20,0
604,6224,Login Issue,2025-04-29,0
605,857,Refund Not Received,2025-05-22,1
606,7764,Refund Not Received,2025-05-26,1
607,3120,KYC Issue,2024-12-25,1
608,7432,KYC Issue,2025-03-20,0
609,773,Refund Not Received,2025-04-24,1
610,9152,Refund Not Received,2025-06-05,0
611,1222,Payment Failed,2025-03-10,1
612,6132,Login Issue,2025-02-12,0
613,6819,Refund Not Received,2025-03-15,1
614,3463,Refund Not Received,2025-06-01,0
615,2117,Refund Not Received,2025-01-03,1
616,1861,Refund Not Received,2024-12-18,1
617,8969,Login Issue,2024-12-13,1
618,9666,KYC Issue,2025-02-15,1
619,2140,KYC Issue,2024-12-11,1
620,5594,KYC Issue,2025-02-19,1
621,6038,Payment Failed,2025-01-09,0
622,8741,Payment Failed,2025-04-18,1
623,1698,Login Issue,2025-03-12,0
624,5420,Login Issue,2025-06-05,1
625,2364,Slow App,2025-01-17,0
626,6,KYC Issue,2025-03-21,0
627,2502,Payment Failed,2025-04-20,0
628,9410,KYC Issue,2025-04-04,1
629,6215,KYC Issue,2025-02-12,1
630,4384,KYC Issue,2025-04-08,0
631,331,Slow App,2025-05-08,1
632,9051,Refund Not Received,2025-02-16,0
633,1299,Payment Failed,2025-01-14,1
634,2281,Login Issue,2025-03-30,0
635,5037,KYC Issue,2025-01-26,1
636,2953,Refund Not Received,2025-05-27,1
637,6288,Login Issue,2025-01-24,0
638,544,Slow App,2025-01-04,0
639,7296,Slow App,2025-03-03,1
640,4636,Refund Not Received,2025-01-29,0
641,5978,Slow App,2025-02-23,0
642,1642,Payment Failed,2024-12-12,0
643,7595,KYC Issue,2024-12-11,1
644,855,Refund Not Received,2025-02-12,0
645,482,Login Issue,2025-03-01,0
646,8288,KYC Issue,2025-01-09,1
647,9646,KYC Issue,2025-05-15,1
648,1612,KYC Issue,2025-03-31,1
649,5312,Slow App,2024-12-14,0
650,1865,Payment Failed,2025-01-09,1
651,9597,Login Issue,2025-01-28,1
652,8910,Login Issue,2025-02-22,0
653,8307,Payment Failed,2025-03-09,1
654,9473,Refund Not Received,2025-01-30,1
655,657,KYC Issue,2025-02-01,0
656,778,Payment Failed,2024-12-13,0
657,6533,Slow App,2025-04-01,0
658,8739,Login Issue,2025-03-31,0
659,5793,Payment Failed,2025-02-23,1
660,5849,Refund Not Received,2025-05-23,0
661,1548,Slow App,2025-03-03,0
662,5482,Slow App,2025-03-20,0
663,4593,KYC Issue,2024-12-19,1
664,4689,Payment Failed,2025-03-23,0
665,6565,KYC Issue,2024-12-29,1
666,1606,KYC Issue,2025-01-12,1
667,637,Refund Not Received,2025-01-12,1
668,3281,Login Issue,2025-04-10,0
669,2073,Refund Not Received,2025-05-02,1
670,5179,KYC Issue,2024-12-28,0
671,4676,Login Issue,2025-02-23,1
672,3829,Refund Not Received,2025-01-01,1
673,8551,Slow App,2025-03-23,1
674,9012,KYC Issue,2024-12-24,0
675,2612,Slow App,2024-12-20,1
676,3999,Slow App,2025-05-05,1
677,9115,Refund Not Received,2024-12-25,1
